Nome do Cliente;Indústria;Valor Estimado;Valor de Fechamento;Oportunidade Criada Em;Data de Fechamento;Nome da Oportunidade;Categoria;Produto;Fase da Oportunidade;Status da Oportunidade;Estado;CSM
Engenharia Pesada;Manufatura; R$ 99.000,00 ; R$ -   ;19/11/15;20/01/16;Treinamento autores de relatório;Treinamento;Microsoft Power BI;1 - Lead;Perdida;São Paulo;Jack Sparrow
INSIGHT ENTERPRISES INC;Serviços Profissionais; R$ 495,00 ; R$ 495,00 ;19/04/19;19/04/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;Santa Catarina;Mia Wallace
INSIGHT ENTERPRISES INC;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;19/04/17;19/04/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
INSIGHT ENTERPRISES INC;Serviços Profissionais; R$ 9.000,00 ; R$ 9.000,00 ;17/01/19;10/06/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;7 - Encerramento;Ganha;Santa Catarina;Jack Sparrow
INSIGHT ENTERPRISES INC;Serviços Profissionais; R$ 50.000,00 ; R$ -   ;25/05/18;03/07/18;Implantação PPM;Consultoria;Microsoft Project Online;Não classificada;Perdida;Santa Catarina;Marty McFly
INSIGHT ENTERPRISES INC;Serviços Profissionais; R$ 65.485,00 ; R$ 65.485,00 ;19/09/16;13/07/17;Implantação PPM;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
INSIGHT ENTERPRISES INC;Serviços Profissionais; R$ 114.800,00 ; R$ -   ;08/08/13;05/06/14;Contratação pontual de suporte;Serviços;Microsoft Project Server;1 - Lead;Perdida;Santa Catarina;Marty McFly
INTEGRAMED AMERICA;Saúde; R$ 46.000,00 ; R$ 46.000,00 ;19/05/16;11/01/17;Treinamento para Administradores;Treinamento;Microsoft Project Online;1 - Lead;Perdida;Bahia;Django Freeman
Inteligência Artificial e Machine Learning;Educação; R$ 32.000,00 ; R$ -   ;29/08/13;25/02/14;Pacote de relatórios Excel;Produtos;Microsoft Excel;Não classificada;Perdida;São Paulo;Django Freeman
Empresa Nacional de Saneamento Básico;Governo; R$ -   ; R$ -   ;15/10/19;27/01/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Perdida;Rio de Janeiro;Marty McFly
Interligado Norte-Sul;Telecomunicações; R$ 60.495,00 ; R$ -   ;16/01/15;08/09/15;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Paraná;Vincent Vega
Intermountain Healthcare;Saúde; R$ 10.000,00 ; R$ 10.000,00 ;26/02/14;13/02/14;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Mato Grosso;Mia Wallace
Intermountain Healthcare;Saúde; R$ 37.000,00 ; R$ 37.000,00 ;31/03/14;26/06/14;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Mato Grosso;Vincent Vega
Intermountain Healthcare;Saúde; R$ 40.360,00 ; R$ 40.360,00 ;04/09/14;16/10/14;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Mato Grosso;Django Freeman
Internacional Química;Outros Serviços; R$ 40.000,00 ; R$ -   ;23/07/18;05/11/18;Implantação PPM;Consultoria;Microsoft Project Online;Não classificada;Perdida;Rio de Janeiro;Marty McFly
Internacional Química;Outros Serviços; R$ 45.000,00 ; R$ -   ;26/04/18;12/06/18;Implantação PPM;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Paraíba;Marty McFly
Internacional Química;Outros Serviços; R$ 45.000,00 ; R$ -   ;04/01/18;11/04/18;Implantação PPM;Consultoria;Microsoft Project Online;Não classificada;Perdida;Rio Grande do Sul;Marty McFly
Engenharia Pesada;Manufatura; R$ -   ; R$ -   ;14/12/19;12/05/20;Pacote de relatórios Excel;Produtos;Microsoft Excel;5 - Levantamento de escopo;Perdida;Espírito Santo;Moana Waialiki
Intralox;Serviços Profissionais; R$ 495,00 ; R$ 495,00 ;01/06/20;01/06/20;Treinamento para Administradores;Treinamento;Microsoft Project Online;7 - Encerramento;Ganha;Distrito Federal;Django Freeman
Intralox;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;09/10/19;08/10/19;Treinamento para Administradores;Treinamento;Microsoft Project Online;2 - Oportunidade;Ganha;Distrito Federal;Mia Wallace
Intralox;Serviços Profissionais; R$ 7.054,00 ; R$ 7.054,00 ;09/10/19;24/01/20;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;6 - Proposta enviada;Ganha;Distrito Federal;Mia Wallace
Intralox;Serviços Profissionais; R$ 38.000,00 ; R$ 38.000,00 ;06/03/19;03/06/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;Sergipe;Rose Calvert
Engenharia Pesada;Manufatura; R$ 9.000,00 ; R$ 9.000,00 ;05/05/16;29/06/16;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
Engenharia Pesada;Manufatura; R$ 74.000,00 ; R$ -   ;10/07/15;11/04/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;São Paulo;Django Freeman
Ionis Pharmaceuticals;Vendas & Departamento; R$ 2.000,00 ; R$ -   ;04/09/19;11/09/19;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;São Paulo;Django Freeman
Ionis Pharmaceuticals;Vendas & Departamento; R$ 2.199,00 ; R$ 2.199,00 ;02/11/16;02/11/16;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
Ionis Pharmaceuticals;Vendas & Departamento; R$ 20.000,00 ; R$ 20.000,00 ;02/11/18;05/11/18;Implantação PPM;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;São Paulo;Jack Sparrow
Ionis Pharmaceuticals;Vendas & Departamento; R$ 22.500,00 ; R$ 22.500,00 ;23/09/19;24/09/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;2 - Oportunidade;Ganha;São Paulo;Vincent Vega
Ionis Pharmaceuticals;Vendas & Departamento; R$ 22.500,00 ; R$ 22.500,00 ;02/11/18;24/01/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;2 - Oportunidade;Ganha;São Paulo;Mia Wallace
Ionis Pharmaceuticals;Vendas & Departamento; R$ 25.000,00 ; R$ 25.000,00 ;23/09/19;06/02/20;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;6 - Proposta enviada;Ganha;São Paulo;Marty McFly
Ionis Pharmaceuticals;Vendas & Departamento; R$ 50.000,00 ; R$ 50.000,00 ;21/04/17;07/12/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Django Freeman
Ionis Pharmaceuticals;Vendas & Departamento; R$ 98.267,99 ; R$ 98.267,99 ;11/10/16;15/12/16;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;2 - Oportunidade;Ganha;São Paulo;Django Freeman
Iridium Satellite LLC;Mídia & Conteúdo; R$ 3.000,00 ; R$ 3.000,00 ;09/07/20;10/08/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;2 - Oportunidade;Ganha;Santa Catarina;Rose Calvert
Iridium Satellite LLC;Mídia & Conteúdo; R$ 3.000,00 ; R$ 3.000,00 ;17/07/19;26/07/19;Implantação PPM;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;Santa Catarina;Rose Calvert
Iridium Satellite LLC;Mídia & Conteúdo; R$ 4.000,00 ; R$ 4.000,00 ;13/09/19;22/09/19;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Santa Catarina;Jack Sparrow
Iridium Satellite LLC;Mídia & Conteúdo; R$ 5.000,00 ; R$ 5.000,00 ;17/10/18;24/10/18;Treinamento autores de relatório;Treinamento;Microsoft Power BI;2 - Oportunidade;Ganha;Santa Catarina;Marty McFly
Iridium Satellite LLC;Mídia & Conteúdo; R$ 6.000,00 ; R$ 6.000,00 ;15/05/19;14/06/19;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Django Freeman
Iridium Satellite LLC;Mídia & Conteúdo; R$ 10.000,00 ; R$ -   ;14/08/19;30/08/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Perdida;Santa Catarina;Jack Sparrow
Iridium Satellite LLC;Mídia & Conteúdo; R$ 10.000,00 ; R$ 10.000,00 ;08/05/19;13/05/19;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Mia Wallace
Iridium Satellite LLC;Mídia & Conteúdo; R$ 10.000,00 ; R$ 10.000,00 ;18/05/17;05/06/17;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Mia Wallace
Iridium Satellite LLC;Mídia & Conteúdo; R$ 12.000,00 ; R$ -   ;18/04/17;01/09/17;Pacote de relatórios Excel;Produtos;Microsoft Excel;Não classificada;Perdida;Santa Catarina;Marty McFly
Iridium Satellite LLC;Mídia & Conteúdo; R$ 20.000,00 ; R$ 20.000,00 ;18/12/18;19/12/18;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Mia Wallace
Iridium Satellite LLC;Mídia & Conteúdo; R$ 20.000,00 ; R$ 20.000,00 ;12/07/18;17/08/18;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;Santa Catarina;Moana Waialiki
Iridium Satellite LLC;Mídia & Conteúdo; R$ 24.000,00 ; R$ 24.000,00 ;04/06/19;14/06/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Django Freeman
Iridium Satellite LLC;Mídia & Conteúdo; R$ 27.500,00 ; R$ 27.500,00 ;13/06/19;12/09/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;7 - Encerramento;Ganha;Santa Catarina;Vincent Vega
Iridium Satellite LLC;Mídia & Conteúdo; R$ 28.000,00 ; R$ 28.000,00 ;30/05/18;21/06/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Marty McFly
Iridium Satellite LLC;Mídia & Conteúdo; R$ 30.000,00 ; R$ 30.000,00 ;09/07/20;17/08/20;Implantação PPM;Consultoria;Microsoft Project Online;2 - Oportunidade;Ganha;Santa Catarina;Moana Waialiki
Iridium Satellite LLC;Mídia & Conteúdo; R$ 30.000,00 ; R$ 30.000,00 ;13/03/18;04/04/18;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Santa Catarina;Jack Sparrow
Iridium Satellite LLC;Mídia & Conteúdo; R$ 142.095,00 ; R$ 142.095,00 ;23/08/16;19/09/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Santa Catarina;Django Freeman
Isagenix;Vendas & Departamento; R$ 4.000,00 ; R$ -   ;09/08/19;21/11/19;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;4 - Demonstração realizada;Perdida;Santa Catarina;Mia Wallace
Isagenix;Vendas & Departamento; R$ 5.390,00 ; R$ 5.390,00 ;22/11/19;11/12/19;Treinamento para Gerentes de Projeto;Treinamento;Microsoft Project Online;7 - Encerramento;Ganha;Santa Catarina;Marty McFly
Isagenix;Vendas & Departamento; R$ 9.000,00 ; R$ 9.000,00 ;13/02/15;12/02/15;Desenvolvimento de flows;Consultoria;Power Automate;Não classificada;Ganha;Santa Catarina;Marty McFly
Isagenix;Vendas & Departamento; R$ 24.000,00 ; R$ 24.000,00 ;02/06/15;07/06/15;Treinamento autores de relatório;Treinamento;Microsoft Power BI;1 - Lead;Ganha;Santa Catarina;Marty McFly
Isagenix;Vendas & Departamento; R$ 51.000,00 ; R$ -   ;26/02/15;14/09/15;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;1 - Lead;Perdida;Santa Catarina;Mia Wallace
Isagenix;Vendas & Departamento; R$ 70.000,00 ; R$ 70.000,00 ;16/08/14;04/09/14;Pacote de relatórios Excel;Produtos;Microsoft Excel;1 - Lead;Ganha;Santa Catarina;Mia Wallace
Engenharia Pesada;Manufatura; R$ 495,00 ; R$ 495,00 ;06/10/17;06/10/17;Contratação pontual de suporte;Serviços;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Paraíba;Django Freeman
ITT Aerospace Controls;Serviços Profissionais; R$ 180,00 ; R$ 180,00 ;16/04/19;11/04/19;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Moana Waialiki
ITT Aerospace Controls;Serviços Profissionais; R$ 540,00 ; R$ 540,00 ;21/04/17;03/01/18;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
ITT Aerospace Controls;Serviços Profissionais; R$ 1.599,00 ; R$ 1.599,00 ;01/03/17;07/03/17;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
ITT Aerospace Controls;Serviços Profissionais; R$ 1.599,00 ; R$ 1.599,00 ;08/02/17;09/02/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
ITT Aerospace Controls;Serviços Profissionais; R$ 6.000,00 ; R$ 6.000,00 ;08/02/18;09/03/18;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Django Freeman
ITT Aerospace Controls;Serviços Profissionais; R$ 10.000,00 ; R$ -   ;17/06/19;16/10/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;4 - Demonstração realizada;Perdida;São Paulo;Marty McFly
ITT Aerospace Controls;Serviços Profissionais; R$ 20.000,00 ; R$ 20.000,00 ;24/01/19;08/02/19;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
ITT Aerospace Controls;Serviços Profissionais; R$ 20.000,00 ; R$ 20.000,00 ;23/09/16;24/08/17;Contratação pontual de suporte;Serviços;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
ITT Aerospace Controls;Serviços Profissionais; R$ 52.540,00 ; R$ 52.540,00 ;23/05/16;23/09/16;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
Ixia;Manufatura; R$ 45.000,00 ; R$ -   ;29/03/17;12/12/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;Não classificada;Perdida;São Paulo;Vincent Vega
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 3.198,00 ; R$ 3.198,00 ;27/03/17;28/03/17;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;São Paulo;Vincent Vega
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 10.800,00 ; R$ -   ;21/04/17;17/08/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;Não classificada;Perdida;São Paulo;Marty McFly
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 10.800,00 ; R$ 10.800,00 ;19/04/17;19/04/17;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Vincent Vega
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 11.843,00 ; R$ -   ;20/12/16;10/08/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;2 - Oportunidade;Perdida;São Paulo;Mia Wallace
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 12.000,00 ; R$ 12.000,00 ;16/12/16;31/01/17;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;São Paulo;Django Freeman
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 16.000,00 ; R$ 16.000,00 ;16/12/16;28/02/17;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;São Paulo;Jack Sparrow
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 44.000,00 ; R$ -   ;06/01/17;10/08/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;2 - Oportunidade;Perdida;São Paulo;Marty McFly
JACOBS ENGINEERING GROUP INC;Serviços Profissionais; R$ 67.453,00 ; R$ 67.453,00 ;19/06/15;15/11/15;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;São Paulo;Django Freeman
JBS USA HOLDINGS INC;Vendas & Departamento; R$ -   ; R$ -   ;26/11/19;30/01/20;Desenvolvimento de workflows;Consultoria;Microsoft SharePoint Online;3 - Entendimento de necessidades;Perdida;Santa Catarina;Mia Wallace
JD King;Serviços Profissionais; R$ 4.500,00 ; R$ -   ;20/10/16;31/03/17;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;1 - Lead;Perdida;Maranhão;Vincent Vega
Engenharia Pesada;Manufatura; R$ 20.000,00 ; R$ -   ;10/05/13;20/06/13;Migração PPM (PS 2010 - POL);Consultoria;Microsoft Project Online;1 - Lead;Perdida;Santa Catarina;Rose Calvert
John Hopkins Healthcare;Outros; R$ 2.995,00 ; R$ -   ;15/04/20;15/09/20;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;6 - Proposta enviada;Perdida;Santa Catarina;Rose Calvert
JONES DAY REAVIS & POGUE;Serviços Profissionais; R$ -   ; R$ -   ;08/08/16;27/11/17;Implantação PPM;Consultoria;Microsoft Project Online;Não classificada;Perdida;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 1.850,00 ; R$ 1.850,00 ;10/08/16;10/08/16;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Bahia;Rose Calvert
JT3;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;19/07/16;25/08/16;Desenvolvimento de relatórios;Consultoria;Microsoft Project Server;3 - Entendimento de necessidades;Ganha;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;09/02/16;11/02/16;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Ganha;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 2.000,00 ; R$ 2.000,00 ;29/09/14;16/10/14;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 2.700,00 ; R$ 2.700,00 ;19/07/16;30/08/16;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Bahia;Moana Waialiki
JT3;Serviços Profissionais; R$ 8.100,00 ; R$ 8.100,00 ;19/07/16;30/08/16;Desenvolvimento de workflows;Consultoria;Microsoft SharePoint Online;3 - Entendimento de necessidades;Ganha;Bahia;Django Freeman
JT3;Serviços Profissionais; R$ 8.161,00 ; R$ -   ;15/11/18;15/03/19;Desenvolvimento de flows;Consultoria;Power Automate;Não classificada;Perdida;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 8.161,00 ; R$ 8.161,00 ;05/09/17;06/09/17;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;3 - Entendimento de necessidades;Ganha;Bahia;Rose Calvert
JT3;Serviços Profissionais; R$ 10.900,00 ; R$ 10.900,00 ;24/02/17;31/03/17;Implantação PPM;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 13.602,02 ; R$ -   ;26/10/17;19/01/18;Desenvolvimento de flows;Consultoria;Power Automate;1 - Lead;Perdida;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 13.702,15 ; R$ 13.702,15 ;21/04/16;31/10/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Bahia;Vincent Vega
JT3;Serviços Profissionais; R$ 15.000,00 ; R$ 15.000,00 ;10/01/14;01/05/14;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Bahia;Marty McFly
JT3;Serviços Profissionais; R$ 17.000,00 ; R$ 17.000,00 ;08/07/14;28/08/14;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Bahia;Moana Waialiki
JT3;Serviços Profissionais; R$ 21.000,00 ; R$ 21.000,00 ;30/04/15;03/04/15;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;Bahia;Vincent Vega
JT3;Serviços Profissionais; R$ 43.204,00 ; R$ 43.204,00 ;26/10/17;31/10/17;Desenvolvimento de flows;Consultoria;Power Automate;3 - Entendimento de necessidades;Ganha;Bahia;Rose Calvert
JT3;Serviços Profissionais; R$ 107.878,00 ; R$ 107.878,00 ;16/12/14;26/02/15;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Bahia;Mia Wallace
JT4;Segurança Pública; R$ 9.000,00 ; R$ -   ;23/01/19;12/03/19;Pacote de relatórios Excel;Produtos;Microsoft Excel;1 - Lead;Perdida;Amazonas;Marty McFly
Kaiser Permanente;Saúde; R$ -   ; R$ -   ;06/02/19;07/02/19;Desenvolvimento de flows;Consultoria;Power Automate;1 - Lead;Perdida;São Paulo;Mia Wallace
Kaiser Permanente;Saúde; R$ 145,00 ; R$ 145,00 ;22/01/19;22/01/19;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Jack Sparrow
Kaiser Permanente;Saúde; R$ 6.000,00 ; R$ 6.000,00 ;06/02/19;12/04/19;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;São Paulo;Mia Wallace
Kaiser Permanente;Saúde; R$ 11.500,00 ; R$ -   ;17/03/17;09/04/18;Treinamento autores de relatório;Treinamento;Microsoft Power BI;1 - Lead;Perdida;São Paulo;Marty McFly
Kaiser Permanente;Saúde; R$ 14.720,00 ; R$ 14.720,00 ;22/05/19;17/12/19;Desenvolvimento de flows;Consultoria;Power Automate;7 - Encerramento;Ganha;São Paulo;Marty McFly
KARL STORZ ENDOSCOPY-AMERICA INC;Vendas & Departamento; R$ 32.000,00 ; R$ -   ;29/08/13;03/10/13;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;Não classificada;Perdida;São Paulo;Mia Wallace
KB Home;Outros; R$ 17.500,00 ; R$ 17.500,00 ;20/06/16;13/03/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;Não classificada;Perdida;São Paulo;Mia Wallace
KELLER GROUP PLC;Serviços Profissionais; R$ 3.999,00 ; R$ -   ;18/04/17;01/05/17;Desenvolvimento de flows;Consultoria;Power Automate;1 - Lead;Perdida;Pernambuco;Marty McFly
KIVA Group;Serviços Profissionais; R$ 12.000,00 ; R$ -   ;15/09/14;12/04/15;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Perdida;Amazonas;Mia Wallace
KLA-Tencor;Serviços Profissionais; R$ 15.000,00 ; R$ -   ;17/07/14;28/01/16;Contratação pontual de suporte;Serviços;Microsoft SharePoint Online;Não classificada;Perdida;Amazonas;Vincent Vega
Kleinfelder;Serviços Profissionais; R$ 32.000,00 ; R$ -   ;19/12/12;31/03/14;Pacote de relatórios Excel;Produtos;Microsoft Excel;Não classificada;Perdida;São Paulo;Mia Wallace
Kleinfelder;Serviços Profissionais; R$ 55.000,00 ; R$ -   ;21/11/19;03/12/19;Contratação pontual de suporte;Serviços;Microsoft Project Online;4 - Demonstração realizada;Perdida;São Paulo;Rose Calvert
Engenharia Pesada;Manufatura; R$ 75.202,49 ; R$ 75.202,49 ;10/02/16;10/05/16;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;2 - Oportunidade;Perdida;Espírito Santo;Marty McFly
KPMG INTERNATIONAL COOPERATIVE;Outros; R$ -   ; R$ -   ;14/12/19;14/08/20;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;4 - Demonstração realizada;Perdida;Maranhão;Mia Wallace
KROENKE SPORTS ENTERPRISES;Mídia & Conteúdo; R$ 4.500,00 ; R$ 4.500,00 ;13/09/16;11/10/16;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;1 - Lead;Perdida;Santa Catarina;Mia Wallace
Bubba Gump Pharma;Manufatura; R$ -   ; R$ -   ;03/02/16;10/04/18;Desenvolvimento de relatórios;Consultoria;Microsoft Project Online;1 - Lead;Perdida;Rio Grande do Sul;Marty McFly
Bubba Gump Pharma;Manufatura; R$ 1.599,00 ; R$ 1.599,00 ;10/03/17;10/03/17;Treinamento autores de relatório;Treinamento;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Mia Wallace
Bubba Gump Pharma;Manufatura; R$ 1.599,00 ; R$ 1.599,00 ;02/03/17;08/03/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Mia Wallace
Bubba Gump Pharma;Manufatura; R$ 1.599,00 ; R$ 1.599,00 ;08/03/17;08/03/17;Desenvolvimento de workflows;Consultoria;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Vincent Vega
Bubba Gump Pharma;Manufatura; R$ 2.199,00 ; R$ 2.199,00 ;24/10/16;24/10/16;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Django Freeman
Bubba Gump Pharma;Manufatura; R$ 4.797,00 ; R$ 4.797,00 ;14/03/17;14/03/17;Treinamento para Administradores;Treinamento;Microsoft Project Online;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Mia Wallace
Bubba Gump Pharma;Manufatura; R$ 23.000,00 ; R$ 23.000,00 ;20/12/16;02/02/17;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;3 - Entendimento de necessidades;Ganha;Rio Grande do Sul;Moana Waialiki
Laser Spine Institute;Saúde; R$ 74.000,00 ; R$ -   ;19/06/17;15/01/18;Contratação pontual de suporte;Serviços;Microsoft Project Online;1 - Lead;Perdida;Minas Gerais;Django Freeman
LATHAM AND WATKINS LLP;Serviços Profissionais; R$ 3.000,00 ; R$ 3.000,00 ;17/04/13;19/04/13;Pacote de relatórios Excel;Produtos;Microsoft Excel;3 - Entendimento de necessidades;Ganha;São Paulo;Marty McFly
LATHAM AND WATKINS LLP;Serviços Profissionais; R$ 27.000,00 ; R$ 27.000,00 ;19/04/13;12/06/13;Pacote de relatórios Power BI;Produtos;Microsoft Power BI;1 - Lead;Ganha;São Paulo;Marty McFly
LATHAM AND WATKINS LLP;Serviços Profissionais; R$ 30.000,00 ; R$ -   ;27/09/12;15/02/13;Treinamento fundamentos;Treinamento;Microsoft Project Desktop;Não classificada;Perdida;São Paulo;Marty McFly
Leão Vermelho Hotéis e Resorts;Hospitalidade & Transporte; R$ 2.000,00 ; R$ -   ;18/06/18;30/10/18;Implantação PPM;Consultoria;Microsoft Project Online;2 - Oportunidade;Perdida;Santa Catarina;Marty McFly
